
> scrappy-web@0.1.0 dev
> next dev -p 3001

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://127.122.232.100:3001
- Environments: .env

✓ Starting...
✓ Ready in 826ms
 GET / 200 in 1544ms (compile: 1264ms, proxy.ts: 99ms, render: 181ms)
 GET / 200 in 86ms (compile: 4ms, proxy.ts: 3ms, render: 79ms)
 GET /api/scraper/status 200 in 424ms (compile: 401ms, proxy.ts: 19ms, render: 4ms)
 GET /api/scraper/status 200 in 9ms (compile: 1572µs, proxy.ts: 6ms, render: 1601µs)
 GET /api/scraper/status 200 in 7ms (compile: 1441µs, proxy.ts: 3ms, render: 2ms)
 GET /api/stats 200 in 514ms (compile: 124ms, proxy.ts: 19ms, render: 370ms)
 GET /api/scraper/status 200 in 7ms (compile: 2ms, proxy.ts: 3ms, render: 1693µs)
 GET /api/stats 200 in 13ms (compile: 4ms, proxy.ts: 3ms, render: 6ms)
 GET /api/scraper/status 200 in 10ms (compile: 3ms, proxy.ts: 6ms, render: 1265µs)
 GET /api/stats 200 in 14ms (compile: 4ms, proxy.ts: 5ms, render: 5ms)
 GET /api/scraper/status 200 in 11ms (compile: 3ms, proxy.ts: 6ms, render: 2ms)
 GET /api/stats 200 in 13ms (compile: 1170µs, proxy.ts: 5ms, render: 7ms)
 GET /api/stats 200 in 6ms (compile: 1040µs, proxy.ts: 1921µs, render: 3ms)
 GET /api/stats 200 in 11ms (compile: 1002µs, proxy.ts: 1510µs, render: 9ms)
 GET /api/scraper/status 200 in 5ms (compile: 1075µs, proxy.ts: 1898µs, render: 1597µs)
 GET /api/scraper/status 200 in 4ms (compile: 978µs, proxy.ts: 1632µs, render: 1291µs)
 GET /api/scraper/status 200 in 5ms (compile: 1449µs, proxy.ts: 1954µs, render: 1893µs)
 GET /api/scraper/status 200 in 5ms (compile: 1129µs, proxy.ts: 1837µs, render: 1630µs)
 GET /api/scraper/status 200 in 6ms (compile: 1481µs, proxy.ts: 2ms, render: 2ms)
 GET /api/scraper/status 200 in 9ms (compile: 2ms, proxy.ts: 5ms, render: 1876µs)
 GET /api/scraper/status 200 in 7ms (compile: 1452µs, proxy.ts: 3ms, render: 3ms)
 GET /api/scraper/status 200 in 5ms (compile: 814µs, proxy.ts: 2ms, render: 1581µs)
 GET /api/scraper/status 200 in 11ms (compile: 3ms, proxy.ts: 5ms, render: 4ms)
 GET /api/scraper/status 200 in 8ms (compile: 2ms, proxy.ts: 4ms, render: 3ms)
 GET /api/scraper/status 200 in 11ms (compile: 3ms, proxy.ts: 5ms, render: 4ms)
 GET /api/scraper/status 200 in 8ms (compile: 1918µs, proxy.ts: 4ms, render: 3ms)
 GET /api/scraper/status 200 in 9ms (compile: 2ms, proxy.ts: 4ms, render: 3ms)
 GET /api/scraper/status 200 in 5ms (compile: 1213µs, proxy.ts: 2ms, render: 1816µs)
 GET /api/scraper/status 200 in 11ms (compile: 3ms, proxy.ts: 5ms, render: 3ms)
 GET /api/scraper/status 200 in 8ms (compile: 1858µs, proxy.ts: 4ms, render: 3ms)
 GET /api/scraper/status 200 in 15ms (compile: 2ms, proxy.ts: 3ms, render: 10ms)
 GET /api/scraper/status 200 in 5ms (compile: 1358µs, proxy.ts: 2ms, render: 1486µs)
 GET / 200 in 36ms (compile: 3ms, proxy.ts: 4ms, render: 29ms)
 GET /api/scraper/status 200 in 12ms (compile: 6ms, proxy.ts: 3ms, render: 3ms)
 GET /api/stats 200 in 17ms (compile: 2ms, proxy.ts: 4ms, render: 11ms)
 GET /api/scraper/status 200 in 13ms (compile: 8ms, proxy.ts: 3ms, render: 3ms)
 GET /api/stats 200 in 18ms (compile: 1302µs, proxy.ts: 3ms, render: 13ms)
 GET /api/scraper/status 200 in 6ms (compile: 1554µs, proxy.ts: 3ms, render: 1904µs)
 GET /api/scraper/status 200 in 5ms (compile: 1724µs, proxy.ts: 1816µs, render: 1858µs)
 GET /api/scraper/status 200 in 8ms (compile: 1931µs, proxy.ts: 4ms, render: 2ms)
 GET /api/scraper/status 200 in 5ms (compile: 1343µs, proxy.ts: 2ms, render: 1719µs)
 GET /api/scraper/status 200 in 8ms (compile: 1862µs, proxy.ts: 4ms, render: 3ms)
 GET /api/scraper/status 200 in 7ms (compile: 1524µs, proxy.ts: 3ms, render: 2ms)
 GET /api/scraper/status 200 in 9ms (compile: 2ms, proxy.ts: 4ms, render: 3ms)
 GET /api/scraper/status 200 in 10ms (compile: 5ms, proxy.ts: 3ms, render: 1757µs)
 GET /api/scraper/status 200 in 8ms (compile: 1805µs, proxy.ts: 4ms, render: 2ms)
 GET /api/scraper/status 200 in 11ms (compile: 3ms, proxy.ts: 5ms, render: 3ms)
 GET /api/scraper/status 200 in 13ms (compile: 5ms, proxy.ts: 5ms, render: 2ms)
 GET /api/stats 200 in 19ms (compile: 747µs, proxy.ts: 7ms, render: 11ms)
 GET /api/scraper/status 200 in 10ms (compile: 2ms, proxy.ts: 4ms, render: 3ms)
 GET /api/scraper/status 200 in 13ms (compile: 1955µs, proxy.ts: 9ms, render: 2ms)
 GET /api/scraper/status 200 in 4ms (compile: 1071µs, proxy.ts: 1704µs, render: 1561µs)
 GET /api/scraper/status 200 in 7ms (compile: 1469µs, proxy.ts: 1986µs, render: 3ms)
 GET /api/scraper/status 200 in 4ms (compile: 1071µs, proxy.ts: 1690µs, render: 1497µs)
 GET /api/scraper/status 200 in 4ms (compile: 1022µs, proxy.ts: 1477µs, render: 1352µs)
 GET /api/scraper/status 200 in 10ms (compile: 1379µs, proxy.ts: 7ms, render: 1763µs)
 GET /api/scraper/status 200 in 12ms (compile: 3ms, proxy.ts: 5ms, render: 4ms)
 GET /api/scraper/status 200 in 11ms (compile: 3ms, proxy.ts: 5ms, render: 4ms)
 GET /api/scraper/status 200 in 4ms (compile: 1119µs, proxy.ts: 1848µs, render: 1532µs)
 GET /api/scraper/status 200 in 5ms (compile: 1141µs, proxy.ts: 1878µs, render: 1637µs)
 GET /api/scraper/status 200 in 9ms (compile: 1683µs, proxy.ts: 4ms, render: 3ms)
 GET /api/scraper/status 200 in 9ms (compile: 2ms, proxy.ts: 4ms, render: 3ms)
